Time	Writhe	Twist	Length
214	4.79247	-4.72566	539.545
215	4.84279	-4.78164	536.948
216	4.90013	-4.86418	532.788
217	4.94404	-4.90314	528.124
218	4.96534	-4.91656	524.076
219	4.95209	-4.90763	521.844
220	4.91516	-4.86472	521.736
221	4.86301	-4.83579	523.544
222	4.81069	-4.78184	526.377
223	4.77639	-4.73471	529.119
224	4.77305	-4.72725	530.754
225	4.79911	-4.73471	530.493
226	4.84414	-4.77614	528.302
227	4.89996	-4.86207	524.602
228	4.94322	-4.90312	520.536
229	4.96662	-4.91421	516.682
230	4.95477	-4.91696	514.661
231	4.92191	-4.86737	514.471
232	4.87321	-4.83531	515.876
233	4.82136	-4.79578	518.171
234	4.78707	-4.74835	520.551
235	4.78094	-4.73901	522.039
236	4.80343	-4.74251	521.715
237	4.84215	-4.77083	519.92
238	4.89445	-4.85251	516.649
239	4.93639	-4.89749	513.067
240	4.96153	-4.90829	509.709
241	4.95476	-4.91507	507.797
242	4.92217	-4.86355	507.471
243	4.87721	-4.83037	508.575
244	4.82947	-4.79847	510.516
245	4.79423	-4.75945	512.392
246	4.78679	-4.74823	513.568
247	4.80453	-4.74913	513.256
248	4.83818	-4.76171	511.645
249	4.88603	-4.83671	508.922
250	4.92696	-4.88964	505.745
251	4.95267	-4.89849	502.996
252	4.9491	-4.91349	501.148
253	4.92007	-4.86548	500.917
254	4.8809	-4.82922	501.648
255	4.83394	-4.80489	503.196
256	4.80173	-4.76588	504.655
257	4.79259	-4.74999	505.359
258	4.80529	-4.75663	505.088
259	4.83647	-4.75895	503.66
260	4.87656	-4.8188	501.27
261	4.91589	-4.87946	498.595
262	4.94239	-4.88763	496.147
263	4.94282	-4.90186	494.626
264	4.91902	-4.8667	494.524
265	4.88057	-4.81747	495.1
266	4.83983	-4.80596	496.237
267	4.80581	-4.77049	497.308
268	4.7942	-4.75346	497.664
269	4.80577	-4.7563	497.288
270	4.82907	-4.75789	495.858
271	4.86633	-4.79968	493.887
272	4.90325	-4.86494	491.578
273	4.93274	-4.87774	489.525
274	4.9359	-4.89063	488.399
275	4.91697	-4.86207	488.285
276	4.88247	-4.81474	488.853
277	4.84322	-4.80171	489.711
278	4.81304	-4.77623	490.494
279	4.79991	-4.75623	490.552
280	4.80356	-4.75741	489.958
281	4.82265	-4.75583	488.646
282	4.85537	-4.78646	486.906
283	4.89351	-4.85118	484.871
284	4.92366	-4.86989	483.189
285	4.9327	-4.88241	482.316
286	4.91568	-4.86795	482.381
287	4.88259	-4.81961	483.095
288	4.84845	-4.79572	483.657
289	4.81875	-4.77645	484.18
290	4.80252	-4.7563	484.069
291	4.80296	-4.75441	483.24
292	4.81851	-4.75709	481.822
293	4.84612	-4.77634	480.108
294	4.88223	-4.83336	478.361
295	4.91527	-4.86307	476.937
296	4.92749	-4.87226	476.416
297	4.91584	-4.86103	476.721
298	4.88412	-4.82015	477.489
299	4.84978	-4.79094	478.039
300	4.82107	-4.77634	478.298
301	4.80263	-4.75763	477.996
302	4.79779	-4.75173	477.03
303	4.8088	-4.75174	475.405
304	4.83724	-4.76522	473.627
305	4.87334	-4.81785	472.042
306	4.90627	-4.85742	470.852
307	4.92367	-4.86799	470.682
308	4.91494	-4.85857	471.188
309	4.88349	-4.82515	472.219
310	4.85055	-4.78589	472.9
311	4.81907	-4.76837	473.014
312	4.79902	-4.75329	472.533
313	4.79234	-4.74162	471.301
314	4.80156	-4.74378	469.473
315	4.82569	-4.75934	467.652
316	4.86076	-4.7977	466.052
317	4.89943	-4.84737	465.041
318	4.9212	-4.86418	465.115
319	4.91128	-4.85284	466.015
320	4.88284	-4.82713	467.348
